,symbol,close,tradingDate,symbol,open,tradingDate,Change,Type
59,PNJ,95.1,2021-07-15,PNJ,96.0,2021-07-15,-0.9000000000000057,2.0
60,PNJ,96.0,2021-07-14,PNJ,102.5,2021-07-14,-6.5,2.0
61,PNJ,99.2,2021-07-13,PNJ,103.5,2021-07-13,-4.299999999999997,2.0
62,PNJ,102.1,2021-07-12,PNJ,105.0,2021-07-12,-2.9000000000000057,2.0
63,PNJ,105.5,2021-07-09,PNJ,104.1,2021-07-09,1.4000000000000057,1.0
64,PNJ,105.6,2021-07-08,PNJ,108.0,2021-07-08,-2.4000000000000057,2.0
65,PNJ,106.5,2021-07-07,PNJ,100.0,2021-07-07,6.5,1.0
66,PNJ,99.6,2021-07-06,PNJ,99.3,2021-07-06,0.29999999999999716,1.0
67,PNJ,99.3,2021-07-05,PNJ,101.5,2021-07-05,-2.200000000000003,2.0
68,PNJ,99.5,2021-07-02,PNJ,100.2,2021-07-02,-0.7000000000000028,2.0
69,PNJ,100.2,2021-07-01,PNJ,100.7,2021-07-01,-0.5,2.0
70,PNJ,100.1,2021-06-30,PNJ,99.0,2021-06-30,1.0999999999999943,1.0
71,PNJ,98.6,2021-06-29,PNJ,98.1,2021-06-29,0.5,1.0
72,PNJ,98.1,2021-06-28,PNJ,97.2,2021-06-28,0.8999999999999915,1.0
73,PNJ,97.4,2021-06-25,PNJ,98.0,2021-06-25,-0.5999999999999943,2.0
74,PNJ,98.1,2021-06-24,PNJ,98.8,2021-06-24,-0.7000000000000028,2.0
75,PNJ,98.8,2021-06-23,PNJ,99.3,2021-06-23,-0.5,2.0
76,PNJ,98.5,2021-06-22,PNJ,99.0,2021-06-22,-0.5,2.0
77,PNJ,98.1,2021-06-21,PNJ,99.0,2021-06-21,-0.9000000000000057,2.0
78,PNJ,98.0,2021-06-18,PNJ,98.8,2021-06-18,-0.7999999999999972,2.0
79,PNJ,95.5,2021-06-17,PNJ,95.0,2021-06-17,0.5,1.0
80,PNJ,95.1,2021-06-16,PNJ,96.0,2021-06-16,-0.9000000000000057,2.0
81,PNJ,96.0,2021-06-15,PNJ,96.5,2021-06-15,-0.5,2.0
82,PNJ,97.0,2021-06-14,PNJ,98.0,2021-06-14,-1.0,2.0
83,PNJ,96.9,2021-06-11,PNJ,95.1,2021-06-11,1.8000000000000114,1.0
84,PNJ,95.8,2021-06-10,PNJ,97.8,2021-06-10,-2.0,2.0
